txn_id,customer_id,txn_date,txn_city,amount,merchant_name,category,status,method
1,150,2023-05-24,Baltimore,401.5,Delta Airlines,Travel,Success,Credit
2,43,2023-02-13,Atlanta,16.91,Netflix,Entertainment,Failed,Credit
3,162,2023-03-10,Boston,108.35,Target,Shopping,Success,Credit
4,188,2023-03-24,Miami,30.54,AMC Theaters,Entertainment,Success,Debit
5,241,2023-06-01,Detroit,14.44,McDonalds,Food,Success,Credit
6,149,2023-03-25,Atlanta,37.61,Verizon,Bills,Success,Credit
7,170,2023-05-22,New York,148.46,Delta Airlines,Travel,Success,Credit
8,111,2023-01-25,Washington,80.48,Uber,Travel,Success,Debit
9,243,2023-06-27,Houston,99.7,Con Edison,Bills,Success,Debit
10,13,2023-04-02,Houston,8.47,Starbucks,Food,Success,Debit
11,96,2023-05-02,Las Vegas,5500.44,Airbnb,Travel,Success,Debit
12,41,2023-05-15,Baltimore,5.92,Starbucks,Food,Success,Debit
13,99,2023-05-02,Atlanta,11.52,Netflix,Entertainment,Success,Credit
14,95,2023-02-09,Phoenix,21.93,AMC Theaters,Entertainment,Success,Debit
15,50,2023-04-06,New York,153.16,Walmart,Shopping,Success,Debit
16,238,2023-06-21,Miami,16.97,Netflix,Entertainment,Success,Debit
17,238,2023-02-21,Miami,57.26,Con Edison,Bills,Success,Credit
18,83,2023-02-26,Atlanta,83.92,Target,Shopping,Success,Credit
19,125,2023-01-07,Chicago,207.8,Con Edison,Bills,Success,Credit
20,122,2023-01-22,Richmond,87.28,Uber,Travel,Success,Debit
21,108,2023-04-18,Detroit,341.64,Amazon,Shopping,Success,Debit
22,116,2023-03-01,New Orleans,98.97,Uber,Travel,Success,Credit
23,54,2023-03-28,New York,19.27,Netflix,Entertainment,Success,Debit
24,98,2023-02-12,New Orleans,12.3,AMC Theaters,Entertainment,Success,Debit
25,44,2023-01-02,Miami,105.75,Verizon,Bills,Success,Credit
26,111,2023-03-09,Washington,137.01,Target,Shopping,Success,Debit
27,194,2023-05-30,Washington,693.23,Airbnb,Travel,Success,Debit
28,140,2023-03-25,Detroit,19.65,Chipotle,Food,Success,Debit
29,52,2023-02-14,Orlando,19.49,AMC Theaters,Entertainment,Success,Credit
30,224,2023-03-19,Charlotte,187.31,Target,Shopping,Success,Debit
31,204,2023-06-15,Miami,536.2,Delta Airlines,Travel,Success,Credit
32,64,2023-03-07,Las Vegas,13.9,Spotify,Entertainment,Success,Credit
33,185,2023-05-17,Baltimore,20.23,AMC Theaters,Entertainment,Success,Debit
34,22,2023-03-04,Richmond,47.43,Walmart,Shopping,Success,Credit
35,135,2023-06-27,Philadelphia,34.04,AMC Theaters,Entertainment,Success,Credit
36,185,2023-04-01,Baltimore,4.41,Starbucks,Food,Success,Credit
37,78,2023-05-24,Boston,122.95,Amazon,Shopping,Success,Debit
38,36,2023-05-16,Phoenix,17.73,Comcast,Bills,Success,Credit
39,53,2023-04-01,Baltimore,5.48,Starbucks,Food,Success,Debit
40,147,2023-06-01,Milwaukee,20.95,Chipotle,Food,Success,Debit
41,249,2023-03-07,New Orleans,16.37,AMC Theaters,Entertainment,Failed,Credit
42,141,2023-04-20,Chicago,433.63,Airbnb,Travel,Success,Debit
43,70,2023-03-08,New York,167.43,Con Edison,Bills,Success,Debit
44,89,2023-01-02,Charlotte,87.96,Uber,Travel,Success,Credit
45,143,2023-01-16,Washington,10.19,McDonalds,Food,Success,Credit
46,143,2023-01-17,Washington,183.18,Target,Shopping,Success,Debit
47,126,2023-06-23,Houston,183.85,Delta Airlines,Travel,Success,Credit
48,19,2023-01-19,Washington,217.89,Amazon,Shopping,Success,Credit
49,47,2023-06-23,Charlotte,95.77,Con Edison,Bills,Success,Credit
50,111,2023-05-25,Washington,24.27,Uber,Travel,Success,Debit
51,89,2023-01-19,Charlotte,355.62,Amazon,Shopping,Success,Debit
52,89,2023-03-10,Charlotte,146.75,Delta Airlines,Travel,Success,Credit
53,23,2023-02-23,Atlanta,8.65,McDonalds,Food,Success,Credit
54,184,2023-05-20,Atlanta,195.5,Walmart,Shopping,Success,Debit
55,248,2023-03-25,Milwaukee,6.51,McDonalds,Food,Success,Credit
56,47,2023-04-15,Charlotte,73.47,Walmart,Shopping,Failed,Credit
57,245,2023-01-13,Boston,763.58,Airbnb,Travel,Success,Credit
58,124,2023-04-25,Detroit,16.3,Starbucks,Food,Failed,Debit
59,107,2023-06-09,Charlotte,18.56,Netflix,Entertainment,Success,Credit
60,173,2023-05-23,Orlando,10.56,Spotify,Entertainment,Failed,Debit
61,50,2023-03-01,New York,327.34,Amazon,Shopping,Success,Debit
62,64,2023-05-10,Las Vegas,236.74,Airbnb,Travel,Success,Credit
63,124,2023-05-07,Detroit,132.12,Verizon,Bills,Success,Credit
64,84,2023-04-28,Baltimore,797.95,Comcast,Bills,Success,Credit
65,56,2023-05-15,Richmond,896.47,Comcast,Bills,Success,Credit
66,230,2023-06-03,Phoenix,14.27,McDonalds,Food,Success,Debit
67,233,2023-02-24,New Orleans,478.96,Comcast,Bills,Success,Credit
68,195,2023-03-15,Boston,103.66,Verizon,Bills,Success,Debit
69,243,2023-01-08,Houston,30.15,AMC Theaters,Entertainment,Failed,Credit
70,11,2023-05-01,Newark,14.78,McDonalds,Food,Success,Debit
71,58,2023-06-12,Detroit,24.74,Target,Shopping,Success,Debit
72,78,2023-05-31,Boston,221.64,Con Edison,Bills,Failed,Credit
73,28,2023-04-29,Los Angeles,520.73,Delta Airlines,Travel,Success,Debit
74,148,2023-05-05,New Orleans,122.8,Con Edison,Bills,Success,Credit
75,110,2023-01-17,Houston,162.72,Walmart,Shopping,Success,Credit
76,92,2023-01-09,Houston,141.93,Con Edison,Bills,Failed,Debit
77,224,2023-02-03,Charlotte,11.07,Netflix,Entertainment,Success,Credit
78,182,2023-02-16,Milwaukee,19.32,Netflix,Entertainment,Success,Debit
79,59,2023-01-17,Chicago,166.98,Target,Shopping,Success,Credit
80,156,2023-03-26,Orlando,81.64,Chipotle,Food,Success,Credit
81,106,2023-04-18,Orlando,26.03,Walmart,Shopping,Success,Debit
82,4,2023-05-08,Miami,30.65,Verizon,Bills,Success,Debit
83,108,2023-05-21,Detroit,5.23,Starbucks,Food,Failed,Debit
84,79,2023-01-29,Phoenix,189.35,Walmart,Shopping,Failed,Credit
85,23,2023-02-13,Atlanta,196.44,Target,Shopping,Success,Credit
86,63,2023-04-10,Phoenix,9.26,Spotify,Entertainment,Success,Credit
87,36,2023-01-29,Phoenix,56.61,Amazon,Shopping,Success,Debit
88,207,2023-05-24,Charlotte,171.52,Target,Shopping,Success,Debit
89,165,2023-03-13,Milwaukee,122.53,Verizon,Bills,Success,Credit
90,247,2023-06-04,Las Vegas,344.51,Delta Airlines,Travel,Success,Debit
91,109,2023-05-25,Chicago,348.71,Airbnb,Travel,Success,Credit
92,203,2023-05-15,New York,964.62,Comcast,Bills,Success,Debit
93,191,2023-05-18,Detroit,64.6,Chipotle,Food,Success,Credit
94,137,2023-02-28,Miami,951.88,Comcast,Bills,Success,Credit
95,220,2023-03-19,New York,135.7,Target,Shopping,Success,Credit
96,229,2023-05-17,Boston,28.46,AMC Theaters,Entertainment,Success,Debit
97,29,2023-01-21,Nashville,10.75,Netflix,Entertainment,Success,Credit
98,244,2023-01-25,Washington,81.59,Comcast,Bills,Success,Credit
99,51,2023-03-01,Philadelphia,77.61,Uber,Travel,Success,Debit
100,67,2023-02-27,Atlanta,65.09,Walmart,Shopping,Success,Debit
101,206,2023-03-09,Orlando,159.44,Target,Shopping,Success,Debit
102,70,2023-02-24,New York,194.12,Airbnb,Travel,Success,Debit
103,163,2023-03-05,Phoenix,64.31,Chipotle,Food,Success,Debit
104,233,2023-06-23,New Orleans,113.95,Con Edison,Bills,Success,Debit
105,210,2023-01-29,Houston,247.68,Airbnb,Travel,Success,Credit
106,14,2023-03-02,Philadelphia,14.9,AMC Theaters,Entertainment,Success,Debit
107,50,2023-01-29,New York,81.02,Uber,Travel,Failed,Credit
108,134,2023-01-12,Baltimore,10.98,Spotify,Entertainment,Success,Debit
109,55,2023-01-02,Miami,159.13,Walmart,Shopping,Success,Debit
110,37,2023-06-15,Las Vegas,26.91,Walmart,Shopping,Success,Credit
111,218,2023-04-30,Baltimore,58.35,Walmart,Shopping,Success,Credit
112,205,2023-03-24,Richmond,13.58,Netflix,Entertainment,Success,Debit
113,10,2023-05-14,New York,114.77,Con Edison,Bills,Success,Credit
114,38,2023-01-07,Milwaukee,235.08,Amazon,Shopping,Success,Credit
115,135,2023-03-16,Philadelphia,112.8,Verizon,Bills,Success,Debit
116,59,2023-05-17,Chicago,317.94,Amazon,Shopping,Success,Debit
117,52,2023-06-04,Orlando,10.54,AMC Theaters,Entertainment,Success,Debit
118,67,2023-02-20,Atlanta,22.44,Chipotle,Food,Success,Credit
119,148,2023-06-27,New Orleans,223.34,Con Edison,Bills,Success,Credit
120,63,2023-04-04,Phoenix,953.6,Comcast,Bills,Success,Debit
121,153,2023-04-07,Baltimore,12.74,McDonalds,Food,Success,Credit
122,125,2023-05-29,Chicago,5.44,Starbucks,Food,Success,Debit
123,242,2023-05-07,Chicago,25.5,McDonalds,Food,Success,Credit
124,210,2023-02-22,Houston,163.53,Con Edison,Bills,Success,Credit
125,175,2023-05-13,Detroit,142.08,Airbnb,Travel,Failed,Debit
126,162,2023-05-15,Boston,27.17,Chipotle,Food,Success,Credit
127,182,2023-04-19,Milwaukee,151.21,Delta Airlines,Travel,Success,Debit
128,213,2023-03-27,Phoenix,15.51,Starbucks,Food,Success,Debit
129,16,2023-05-29,Phoenix,62.3,Con Edison,Bills,Success,Credit
130,36,2023-03-23,Phoenix,56.27,Target,Shopping,Success,Debit
131,39,2023-02-19,Washington,165.72,Con Edison,Bills,Success,Debit
132,202,2023-05-29,Philadelphia,302.42,Airbnb,Travel,Success,Debit
133,98,2023-03-06,New Orleans,19.21,Chipotle,Food,Success,Debit
134,53,2023-04-24,Baltimore,191.63,Walmart,Shopping,Success,Debit
135,34,2023-01-30,Philadelphia,178.2,Target,Shopping,Success,Debit
136,215,2023-02-12,Milwaukee,140.97,Amazon,Shopping,Success,Debit
137,49,2023-04-25,Nashville,99.07,Con Edison,Bills,Failed,Credit
138,215,2023-02-10,Milwaukee,50.89,Verizon,Bills,Success,Debit
139,99,2023-05-25,Atlanta,58.8,Verizon,Bills,Success,Credit
140,154,2023-03-21,Miami,43.56,Verizon,Bills,Failed,Credit
141,4,2023-03-20,Miami,541.68,Comcast,Bills,Success,Debit
142,121,2023-01-20,Miami,34.1,AMC Theaters,Entertainment,Success,Debit
143,242,2023-04-08,Chicago,756.13,Airbnb,Travel,Failed,Debit
144,227,2023-01-19,Houston,19.83,Chipotle,Food,Success,Credit
145,123,2023-03-03,Charlotte,29.03,AMC Theaters,Entertainment,Success,Debit
146,243,2023-01-07,Houston,405.49,Amazon,Shopping,Success,Credit
147,122,2023-05-25,Richmond,15.14,Netflix,Entertainment,Success,Debit
148,149,2023-04-12,Atlanta,8.91,McDonalds,Food,Success,Credit
149,245,2023-03-14,Boston,92.91,Target,Shopping,Success,Debit
150,140,2023-06-05,Detroit,397.94,Delta Airlines,Travel,Success,Credit
151,39,2023-05-02,Washington,150,Verizon,Bills,Success,Debit
152,97,2023-06-23,Milwaukee,147.63,Walmart,Shopping,Success,Credit
153,1,2023-03-23,Baltimore,404.23,Airbnb,Travel,Success,Debit
154,178,2023-06-27,Washington,10.8,Spotify,Entertainment,Success,Debit
155,57,2023-02-11,Charlotte,469.95,Delta Airlines,Travel,Success,Credit
156,130,2023-04-28,Las Vegas,86.73,Uber,Travel,Success,Credit
157,199,2023-06-21,New Orleans,14.52,Spotify,Entertainment,Success,Debit
158,2,2023-01-17,Richmond,60.17,Chipotle,Food,Success,Debit
159,30,2023-06-11,New York,32.94,Chipotle,Food,Failed,Debit
160,72,2023-02-05,Richmond,170.82,Walmart,Shopping,Success,Debit
161,160,2023-05-20,Houston,13.12,Starbucks,Food,Success,Debit
162,51,2023-01-16,Philadelphia,35.69,Target,Shopping,Success,Debit
163,41,2023-03-21,Baltimore,22.6,AMC Theaters,Entertainment,Success,Credit
164,56,2023-03-28,Richmond,20.92,AMC Theaters,Entertainment,Success,Credit
165,231,2023-04-30,Las Vegas,66.91,Uber,Travel,Failed,Credit
166,137,2023-01-31,Miami,28.54,AMC Theaters,Entertainment,Success,Debit
167,222,2023-06-24,Richmond,4.59,Starbucks,Food,Success,Credit
168,32,2023-04-21,Columbus,58.74,Uber,Travel,Success,Credit
169,249,2023-02-10,New Orleans,754.37,Airbnb,Travel,Success,Credit
170,179,2023-05-26,Boston,4.46,Starbucks,Food,Failed,Debit
171,101,2023-05-11,Philadelphia,117.71,Verizon,Bills,Success,Debit
172,227,2023-03-03,Houston,98.09,Walmart,Shopping,Success,Debit
173,204,2023-05-07,Miami,163.03,Con Edison,Bills,Success,Credit
174,186,2023-03-08,Philadelphia,210.67,Con Edison,Bills,Success,Debit
175,93,2023-01-02,Washington,6.44,Starbucks,Food,Success,Credit
176,76,2023-02-08,Houston,56.26,Amazon,Shopping,Success,Debit
177,224,2023-05-19,Charlotte,73.09,Verizon,Bills,Success,Debit
178,4,2023-03-25,Miami,12.05,Spotify,Entertainment,Success,Credit
179,14,2023-05-18,Philadelphia,67.72,Walmart,Shopping,Success,Credit
180,100,2023-02-21,Baltimore,53.04,Walmart,Shopping,Success,Debit
181,55,2023-06-01,Miami,24.74,Target,Shopping,Success,Debit
182,184,2023-06-27,Atlanta,62.36,Uber,Travel,Failed,Credit
183,120,2023-04-29,New York,13.18,Netflix,Entertainment,Success,Credit
184,67,2023-05-02,Atlanta,293.56,Comcast,Bills,Success,Credit
185,246,2023-01-25,Phoenix,63.37,Verizon,Bills,Success,Credit
186,207,2023-05-22,Charlotte,10.72,McDonalds,Food,Success,Credit
187,90,2023-05-17,Detroit,56.15,Uber,Travel,Success,Credit
188,243,2023-02-14,Houston,812.34,Airbnb,Travel,Success,Debit
189,187,2023-05-15,New York,18.69,Netflix,Entertainment,Failed,Credit
190,175,2023-02-05,Detroit,17.08,Netflix,Entertainment,Success,Credit
191,43,2023-05-30,Atlanta,114.34,Verizon,Bills,Success,Credit
192,242,2023-04-27,Chicago,266.67,Airbnb,Travel,Success,Credit
193,186,2023-05-10,Philadelphia,547.16,Delta Airlines,Travel,Success,Credit
